"full_text","reply_count","retweet_count","favorite_count","url","created_at"
"“La envidia es una declaración de inferioridad”. 
Marlene Dietrich
#Fuedicho https://t.co/rYq3Ezln1Q","1","90","305","https://twitter.com/fuedicho/status/1530338141281853441","2022-05-28T00:00:19.000Z"
"""Cuánto placer se obtiene del conocimiento inútil"".
Bertrand Russell
#Fuedicho https://t.co/975KlskWEG","1","23","103","https://twitter.com/fuedicho/status/1530337386189692928","2022-05-27T23:57:19.000Z"
"RT @fuedicho: ""No tengas miedo de avanzar despacio, ten miedo de quedarte quieto"".
Proverbio chino
#Fuedicho https://t.co/7pYbR7DimZ","0","1854","0","https://twitter.com/fuedicho/status/1530334225659985920","2022-05-27T23:44:46.000Z"
"RT @fuedicho: ""A veces la persona que nadie imagina capaz de nada es la que hace cosas que 
nadie imagina""
Alan Turing https://t.co/OiRag1b…","0","1676","0","https://twitter.com/fuedicho/status/1530330908548640770","2022-05-27T23:31:35.000Z"
"""Yo quiero proponerle a usted un abrazo, uno fuerte, duradero, hasta que todo nos duela. Al final será mejor que me duela el cuerpo por quererle, y no que me duela el alma por extrañarle"". 
Julio Cortázar 
#Fuedicho https://t.co/n5eaAP7h0j","3","88","310","https://twitter.com/fuedicho/status/1530323017997463553","2022-05-27T23:00:14.000Z"
"""No la vida, sino la buena vida, es lo que debe ser más valorado"".
Socrates
#Fuedicho https://t.co/inUyifF7fi","5","98","403","https://twitter.com/fuedicho/status/1530307967735717896","2022-05-27T22:00:25.000Z"
"""No hay incendio como la pasión: no hay ningún mal como el odio"".
Buda
#Fuedicho https://t.co/qMv0iG750l","1","52","248","https://twitter.com/fuedicho/status/1530292843528462336","2022-05-27T21:00:20.000Z"
"""El arte de ser sabio es el arte de saber lo que hay que pasar por alto"".
William James
#Fuedicho https://t.co/jvW1ZjMzuW","2","106","426","https://twitter.com/fuedicho/status/1530277812380254210","2022-05-27T20:00:36.000Z"
"“Quizá la única lección que nos enseña la historia es que los seres humanos no aprendemos nada de las lecciones de la historia”.
Aldous Huxley
#Fuedicho https://t.co/I7gBAE03j8","13","376","1086","https://twitter.com/fuedicho/status/1530262674734555136","2022-05-27T19:00:27.000Z"
"""Si supiera que esta fuera la última vez que te vea salir por la puerta, te daría un abrazo, un beso y te llamaría de nuevo para darte más"".
Gabriel García Márquez 
#Fuedicho https://t.co/QllGCDVsjW","6","125","511","https://twitter.com/fuedicho/status/1530247673353318403","2022-05-27T18:00:50.000Z"
"""Cada persona debe vivir su vida como un modelo para otras"".
Rosa Parks
#Fuedicho https://t.co/j275NuC2iL","1","50","252","https://twitter.com/fuedicho/status/1530232497153495041","2022-05-27T17:00:32.000Z"
"""Prefiero ser un individuo completo antes que una buena persona"".
Carl Gustav Jung
#Fuedicho https://t.co/hLVjw6bvIz","7","72","356","https://twitter.com/fuedicho/status/1530217491749822465","2022-05-27T16:00:54.000Z"
"“No creáis nada por el simple hecho de que muchos lo crean o finjan que lo creen; creedlo después de someterlo al dictamen de la razón y a la voz de la conciencia.” 
Buda
#Fuedicho https://t.co/TVQ5CsK5Fi","3","160","515","https://twitter.com/fuedicho/status/1530202302895857666","2022-05-27T15:00:33.000Z"
"“Y cuando nadie te despierta por la mañana, y cuando nadie te espera en la noche, y cuando puedes hacer lo que quieras. ¿Cómo lo llamas? ¿Libertad o soledad?"".  
Charles Bukowski
#Fuedicho https://t.co/0hoCv8NKih","70","465","1777","https://twitter.com/fuedicho/status/1530187248490237954","2022-05-27T14:00:44.000Z"
"""La primera idea que un niño debe aprender es la diferencia entre el bien y el mal"".
Maria Montessori
#Fuedicho https://t.co/Vlsss2Z04k","18","428","1906","https://twitter.com/fuedicho/status/1530172074840494080","2022-05-27T13:00:26.000Z"
"""Me aparto de la gente que considera a la insolencia valor, y cobardía a la ternura. Y también me aparto de aquellos que consideran sabiduría a la charlatanería y mediocridad al silencio"".
Khalil Gibran
#Fuedicho https://t.co/dBrMc7EP3v","6","363","1184","https://twitter.com/fuedicho/status/1530156996594475012","2022-05-27T12:00:31.000Z"
"“El problema de nuestra época consiste en que sus hombres no quieren ser útiles sino importantes”.
Winston Churchill
#Fuedicho https://t.co/7Vbk22F71q","5","503","1662","https://twitter.com/fuedicho/status/1530141837020758020","2022-05-27T11:00:17.000Z"
"""Si en la lucha el destino te derriba. Si todo en tu camino es cuesta arriba. Si tu sonrisa es ansia insatisfecha. Si hay faena excesiva y mala cosecha. Si a tu caudal se contraponen diques, date una tregua. ¡Pero no claudiques!"".
Rudyard Kipling
#Fuedicho https://t.co/CteeBHWDuW","2","124","422","https://twitter.com/fuedicho/status/1530126756077875203","2022-05-27T10:00:21.000Z"
"""La minoría más pequeña en la Tierra es el individuo. Los que niegan los derechos individuales, no pueden pretender ser defensores de las minorías"". 
Ayn Rand
#Fuedicho https://t.co/lbi4CGhist","1","89","241","https://twitter.com/fuedicho/status/1530111626174771200","2022-05-27T09:00:14.000Z"
"""Aunque la verdad de los hechos resplandezca, siempre se batirán los hombres en la trinchera sutil de las interpretaciones"".
Gregorio Marañón
#Fuedicho https://t.co/Nb1ytEXaJO","3","47","129","https://twitter.com/fuedicho/status/1530096534385217536","2022-05-27T08:00:16.000Z"
"""La ciencia y la vida diaria no deben estar separadas"".
Rosalin Franklin
#Fuedicho https://t.co/qwu02nyqQC","0","32","168","https://twitter.com/fuedicho/status/1530081398761172993","2022-05-27T07:00:07.000Z"
"""El odio es ganado tanto por las buenas acciones como por las malas"".
Nicolás Maquiavelo
#Fuedicho https://t.co/AQrtjbGfqk","4","199","745","https://twitter.com/fuedicho/status/1530066310335455232","2022-05-27T06:00:10.000Z"
"""Lo peligroso es no evolucionar"".
Jeff Bezos
#Fuedicho https://t.co/eRZGW7iiHc","5","62","273","https://twitter.com/fuedicho/status/1530051189563432961","2022-05-27T05:00:05.000Z"
"""Nunca somos tan vulnerables al sufrimiento como cuando amamos"".
Sigmund Freud
#Fuedicho https://t.co/Qgqu5p3qXG","4","216","1032","https://twitter.com/fuedicho/status/1530036089897029642","2022-05-27T04:00:05.000Z"
"""Los  hombres  se  equivocan  más  a  menudo  por  ser  demasiados  listos,  que  por  ser  demasiado buenos"". 
George Bernard Shaw 
#Fuedicho https://t.co/DVxbpqECk2","2","88","358","https://twitter.com/fuedicho/status/1530020986531225605","2022-05-27T03:00:04.000Z"
"“Pregúntate si lo que estás haciendo hoy, te llevará a donde quieres llegar mañana”.
Walt Disney
#Fuedicho https://t.co/kBwhPe6Qzg","5","218","854","https://twitter.com/fuedicho/status/1530005889263992836","2022-05-27T02:00:04.000Z"
"""De lo sublime a lo ridículo no hay más que un paso"".
Napoleón Bonaparte
#Fuedicho https://t.co/YnG1wFGdO2","5","310","1603","https://twitter.com/fuedicho/status/1529990803732549646","2022-05-27T01:00:08.000Z"
"""Intenta comprender, no eres un personaje de tragedia"".
Ernest Hemingway
#Fuedicho https://t.co/NUcClrZ7fF","0","69","317","https://twitter.com/fuedicho/status/1529975745845542915","2022-05-27T00:00:18.000Z"
"""Alcanzarás buena reputación esforzándote en ser lo que quieres parecer"".
Socrates
#Fuedicho https://t.co/3bNu9xBDrX","0","128","546","https://twitter.com/fuedicho/status/1529960637572567040","2022-05-26T23:00:15.000Z"
"RT @fuedicho: “Nadie ofrece tanto como el que no va a cumplir"". 
Francisco de Quevedo
#Fuedicho https://t.co/fwK2jtMmlc","0","2228","0","https://twitter.com/fuedicho/status/1529960027183800320","2022-05-26T22:57:50.000Z"
"RT @fuedicho: ""Ni la pobreza obliga a nadie a robar ni la riqueza lo evita"".
Proverbio vikingo
#Fuedicho https://t.co/rrMy0pzBT6","0","2559","0","https://twitter.com/fuedicho/status/1529957746937839617","2022-05-26T22:48:46.000Z"
