"full_text","reply_count","retweet_count","favorite_count","url","created_at"
"El planeta regente de tu signo 🔮 https://t.co/xq9TLHuOIw","2","43","472","https://twitter.com/horoscoponegro/status/1530286034344415232","2022-05-27T20:33:16.000Z"
"#ESCORPIO: eres el signo más poderoso e intenso del Zodiaco. Tenerte de enemigo es lo peor que le puede pasar a alguien.","1","17","95","https://twitter.com/horoscoponegro/status/1530271974810853377","2022-05-27T19:37:24.000Z"
"El mayor miedo de los signos 🔮

Parte 1 https://t.co/2ec6tUhPk2","5","29","263","https://twitter.com/horoscoponegro/status/1530232192919560193","2022-05-27T16:59:19.000Z"
"#SAGITARIO: si algo no te interesa, rompes con ello, con o sin explicaciones. Un día desapareces y no te vuelven a ver. Así de sencillo.","4","23","118","https://twitter.com/horoscoponegro/status/1530226392021053442","2022-05-27T16:36:16.000Z"
"El mayor miedo de los signos 🔮

Parte 3 https://t.co/aVNRXKWJlf","0","30","239","https://twitter.com/horoscoponegro/status/1530217848039161857","2022-05-27T16:02:19.000Z"
"El mayor miedo de los signos 🔮

Parte 2 https://t.co/FHsa9LEfA5","2","42","301","https://twitter.com/horoscoponegro/status/1530217799137763328","2022-05-27T16:02:08.000Z"
"¿Qué signo es tu cómplice de locuras? 🔮 https://t.co/Mp9YhBjNRo","61","64","686","https://twitter.com/horoscoponegro/status/1530201991271657473","2022-05-27T14:59:19.000Z"
"¿Te meten o te sacan de los problemas? 🔮 https://t.co/Ni41q1DjKx","19","119","1251","https://twitter.com/horoscoponegro/status/1529923646088790030","2022-05-26T20:33:16.000Z"
"#CAPRICORNIO: cuando te centras en hacer algo, eres el mejor. Sabes que nadie puede echarte en cara nada, porque todo te lo has ganado tu.","3","24","189","https://twitter.com/horoscoponegro/status/1529910090135916560","2022-05-26T19:39:24.000Z"
"La compatibilidad de los signos 🖤

Parte 3 ✨ https://t.co/cFdHCUSE34","12","42","462","https://twitter.com/horoscoponegro/status/1529856715755225088","2022-05-26T16:07:19.000Z"
"La compatibilidad de los signos 🖤

Parte 2✨ https://t.co/bc01bwU480","5","45","374","https://twitter.com/horoscoponegro/status/1529856715545624577","2022-05-26T16:07:19.000Z"
"La compatibilidad de los signos 🖤

Parte 1 ✨ https://t.co/RXaLWrNQsk","21","73","848","https://twitter.com/horoscoponegro/status/1529856468090068992","2022-05-26T16:06:20.000Z"
"El estereotipo de los signos vs. la realidad 🔮 https://t.co/BIpBbekh2V","12","129","1075","https://twitter.com/horoscoponegro/status/1529839381728706560","2022-05-26T14:58:26.000Z"
"#ACUARIO: no eres simple, ni sencillo, ni clásico, no, tu no. Eres excéntrico, creativo y no aguantas lo que está establecido por obligación","1","20","111","https://twitter.com/horoscoponegro/status/1529813416596197379","2022-05-26T13:15:15.000Z"
"Las parejas que más se ríen juntas 🔮 https://t.co/jTffHQKxVB","39","62","800","https://twitter.com/horoscoponegro/status/1529561010033524736","2022-05-25T20:32:17.000Z"
"#PISCIS: un día lloras y al día siguiente eres la persona más feliz del mundo, un día te hundes y otro nadie puede dañarte. Inestable, ¿y?","0","46","217","https://twitter.com/horoscoponegro/status/1529547204620431363","2022-05-25T19:37:25.000Z"
