"full_text","reply_count","retweet_count","favorite_count","url","created_at"
"En twitter ponemos exactamente lo que nadie nos preguntó.","1","507","1509","https://twitter.com/IndirectasRock/status/1530347442113216515","2022-05-28T00:37:17.000Z"
"RT @nacaridportal: Está bien soñar, pero no es suficiente solo con eso, es necesario que hagas sacrificios para conseguir tu meta y verás q…","0","135","0","https://twitter.com/IndirectasRock/status/1530318935215820807","2022-05-27T22:44:00.000Z"
"Te lo resumo? sos lo único que quiero.","26","1673","6977","https://twitter.com/IndirectasRock/status/1530316793453105155","2022-05-27T22:35:30.000Z"
"Te quiero mucho pero no te entiendo.","18","2319","10458","https://twitter.com/IndirectasRock/status/1530294896762015745","2022-05-27T21:08:29.000Z"
"Pagaría por ver una peli sobre los mejores momentos de mi vida.","24","1334","6391","https://twitter.com/IndirectasRock/status/1530278039552151555","2022-05-27T20:01:30.000Z"
"¿Cómo de bueno/a sos en la cama?
https://t.co/ohq9rSxcYi","9","6","136","https://twitter.com/IndirectasRock/status/1530274400355946496","2022-05-27T19:47:02.000Z"
"Tuvimos conexión desde el día uno.","38","2522","12882","https://twitter.com/IndirectasRock/status/1530254766374363136","2022-05-27T18:29:01.000Z"
"Arruino mi vida por la siesta.","9","1553","6300","https://twitter.com/IndirectasRock/status/1530232991410180096","2022-05-27T17:02:30.000Z"
"Claras señales de que esa persona no te ama
https://t.co/neGu7y55F2","0","14","152","https://twitter.com/IndirectasRock/status/1530231756854816768","2022-05-27T16:57:35.000Z"
"Salir conmigo implica cuidarme, porque cruzo la calle como si fuera inmortal.","112","2329","8136","https://twitter.com/IndirectasRock/status/1530216960063156229","2022-05-27T15:58:47.000Z"
"Para mí, es un re acto de amor MEJORAR para no perder a alguien.","26","5318","20118","https://twitter.com/IndirectasRock/status/1530204957474947073","2022-05-27T15:11:06.000Z"
"Elige una botella y descubre el mensaje que hay dentro para ti 
https://t.co/JAOY7pIHDT","2","5","145","https://twitter.com/IndirectasRock/status/1530203058860396545","2022-05-27T15:03:33.000Z"
"De fondo pantalla tenés a lo que más querés.","463","1880","12187","https://twitter.com/IndirectasRock/status/1530192055187677188","2022-05-27T14:19:50.000Z"
"RT @RafaelCabaliere: 27 de mayo.

Debemos aprender
a disfrutar el momento,
a no pensar lo peor,
lo innecesario,
a ser un poco más felices.…","0","3766","0","https://twitter.com/IndirectasRock/status/1530182254093381632","2022-05-27T13:40:53.000Z"
"Diosito tu mejor guerrera necesita plata.","13","2024","7077","https://twitter.com/IndirectasRock/status/1530181749262757889","2022-05-27T13:38:53.000Z"
"¿Sos una persona altamente sensible?
https://t.co/kznBfZdXH1","0","12","131","https://twitter.com/IndirectasRock/status/1530180772740702210","2022-05-27T13:35:00.000Z"
"No te da frío dormir así? así sin mí?","88","5670","23801","https://twitter.com/IndirectasRock/status/1530026681649336321","2022-05-27T03:22:42.000Z"
"Que bombón me como la verdad que me aplaudo.","50","3059","12346","https://twitter.com/IndirectasRock/status/1530001404755972096","2022-05-27T01:42:15.000Z"
"Imagínate que te amen en la forma que vos amas, sería muy lindo.","41","2881","14728","https://twitter.com/IndirectasRock/status/1529984830259089408","2022-05-27T00:36:23.000Z"
"Mi mejor amiga es una de las cosas más lindas que tengo.","470","3932","14540","https://twitter.com/IndirectasRock/status/1529960603036438528","2022-05-26T23:00:07.000Z"
"Me equivoqué con tantas personas.","25","4636","17080","https://twitter.com/IndirectasRock/status/1529945938013220869","2022-05-26T22:01:51.000Z"
"A veces digo cosas en broma que no son tan en broma.","24","3068","13452","https://twitter.com/IndirectasRock/status/1529929693259964417","2022-05-26T20:57:18.000Z"
"Yo no sé lo que tiene, pero cómo me tiene.","24","3796","15947","https://twitter.com/IndirectasRock/status/1529904313916485632","2022-05-26T19:16:27.000Z"
"Te puedo llamar? Voy por vos? Queres algo? Ya llegaste? Te pasa algo? 
Ese es el interés que todos necesitamos.","48","4894","20547","https://twitter.com/IndirectasRock/status/1529886255420280832","2022-05-26T18:04:41.000Z"
"Conmigo no es fácil pero es de verdad.","36","10140","36128","https://twitter.com/IndirectasRock/status/1529873158483877889","2022-05-26T17:12:39.000Z"
"A mí me decís “hacemos esto por la anécdota” y ya me has convencido.","26","1803","8538","https://twitter.com/IndirectasRock/status/1529861717441667079","2022-05-26T16:27:11.000Z"
"Cuando me obsesiono con una canción soy insoportable.","83","4209","16962","https://twitter.com/IndirectasRock/status/1529847633895751681","2022-05-26T15:31:13.000Z"
"A mí me regalas una pulsera y me muero con ella puesta.","80","5767","26302","https://twitter.com/IndirectasRock/status/1529825419179937801","2022-05-26T14:02:57.000Z"
"Que ganas de dormir con una re tormenta de fondo.","61","8236","29292","https://twitter.com/IndirectasRock/status/1529655001156489217","2022-05-26T02:45:46.000Z"
"No les da intriga saber que lugar ocupan en la cabeza del otro?","202","6454","38576","https://twitter.com/IndirectasRock/status/1529635053357047808","2022-05-26T01:26:30.000Z"
"Ese preciso momento en el que al fin tocas tu cama y se convierte en una de las siete maravillas del mundo después de un día super agotador tanto físico como mentalmente.","20","2495","10781","https://twitter.com/IndirectasRock/status/1529616301374640128","2022-05-26T00:11:59.000Z"
"Mi espalda necesita 24 horas de masajes.","101","11732","33400","https://twitter.com/IndirectasRock/status/1529594033776906240","2022-05-25T22:43:30.000Z"
"Mirar a alguien y sentir que tienes suerte.","68","2834","15252","https://twitter.com/IndirectasRock/status/1529581217963999232","2022-05-25T21:52:35.000Z"
"Tiene la cara más bonita que he visto en mi vida.","68","3385","16000","https://twitter.com/IndirectasRock/status/1529559452210405384","2022-05-25T20:26:05.000Z"
"Estar con alguien que te ame en público, en privado y a tus espaldas.","64","7804","36656","https://twitter.com/IndirectasRock/status/1529549035136114688","2022-05-25T19:44:42.000Z"
"O te contesto en 5 segundos o en 8 horas.","54","4242","19728","https://twitter.com/IndirectasRock/status/1529500189525848064","2022-05-25T16:30:36.000Z"
"Me gusta mucho que me abracen sin que yo lo pida.","21","5355","22665","https://twitter.com/IndirectasRock/status/1529483182705299459","2022-05-25T15:23:01.000Z"
"Yo no odio a nadie, ni siquiera me cae mal la gente que se portó horrible. Hace rato entendí que a veces las acciones de las personas tienen más que ver con ellos mismos que conmigo. Uno vive más tranquilo cuando perdona y sigue adelante.","35","6075","15341","https://twitter.com/IndirectasRock/status/1529467941124575232","2022-05-25T14:22:27.000Z"
"Sabes lo que nos hace falta? vernos.","94","5436","25902","https://twitter.com/IndirectasRock/status/1529447513048367104","2022-05-25T13:01:17.000Z"
"Hablemos de lo lindo que es dormir abrazados.","164","6490","31831","https://twitter.com/IndirectasRock/status/1529296018906312704","2022-05-25T02:59:18.000Z"
"Todos dicen ""yo si duermo siesta no me puedo dormir a la noche""
Yo duermo siesta, duermo a la noche y capaz al otro día me quedo dormida.","66","4543","14438","https://twitter.com/IndirectasRock/status/1529277650472083456","2022-05-25T01:46:19.000Z"
"Me auto felicito por tener ese don de sospechar algo y que termine siendo cierto.","52","4665","20299","https://twitter.com/IndirectasRock/status/1529263574509420545","2022-05-25T00:50:23.000Z"
"Donde pongo el ojo pongo el capricho.","36","4432","19726","https://twitter.com/IndirectasRock/status/1529246818004922370","2022-05-24T23:43:48.000Z"
"nadie:
yo: sabes que tengo ganas de comer???","72","3084","11322","https://twitter.com/IndirectasRock/status/1529229035867361280","2022-05-24T22:33:08.000Z"
"Tu último emoji describe cómo terminarás mayo.","7453","558","15444","https://twitter.com/IndirectasRock/status/1529170051236040706","2022-05-24T18:38:45.000Z"
"No les pasa que se arrepienten de haber contado cosas de su vida a ciertas personas???","163","4957","26843","https://twitter.com/IndirectasRock/status/1529158122060890122","2022-05-24T17:51:21.000Z"
"Antes odiaba a la gente que no contesta los mensajes, ahora yo soy la gente que no contesta mensajes.","34","4112","15524","https://twitter.com/IndirectasRock/status/1529145633495519246","2022-05-24T17:01:43.000Z"
"Que van a saber de paciencia si no me acompañaron a comprar ropa.","134","4279","16295","https://twitter.com/IndirectasRock/status/1529128277318766592","2022-05-24T15:52:45.000Z"
"El karma vuelve y así como me dolió un día a mí, un día a vos te va a doler el doble, porque el que riendo las hace llorando las paga.","18","3033","10881","https://twitter.com/IndirectasRock/status/1529115626253467648","2022-05-24T15:02:29.000Z"
"Mi yo enamorado es lo mejor que le puede pasar en la vida a cualquiera.","53","8595","31880","https://twitter.com/IndirectasRock/status/1529092412219572226","2022-05-24T13:30:14.000Z"
"Te amo persona que sabe cuando me pasa algo.","101","5151","27622","https://twitter.com/IndirectasRock/status/1528929894800949248","2022-05-24T02:44:27.000Z"
"Te sigo esperando o ya fue?","95","6437","29211","https://twitter.com/IndirectasRock/status/1528906177874362368","2022-05-24T01:10:13.000Z"
"Mi mejor amiga? una reina.","609","3876","17028","https://twitter.com/IndirectasRock/status/1528893625416921088","2022-05-24T00:20:20.000Z"
"nadie:
yo: podes pedirlo vos? es que me da vergüenza","198","3387","16695","https://twitter.com/IndirectasRock/status/1528872454684553216","2022-05-23T22:56:12.000Z"
"Mis ojitos sólo te miran a vos.","61","4228","19503","https://twitter.com/IndirectasRock/status/1528837317041041410","2022-05-23T20:36:35.000Z"
"Te imaginas ser el “pero ella es ella” de alguien.","96","5094","30888","https://twitter.com/IndirectasRock/status/1528824956578144257","2022-05-23T19:47:28.000Z"
"Me abraza y se me pasa todo.","59","6773","26799","https://twitter.com/IndirectasRock/status/1528783260591046656","2022-05-23T17:01:47.000Z"
"Lo hice con amor, no me debes nada.","41","12199","47878","https://twitter.com/IndirectasRock/status/1528769617698738176","2022-05-23T16:07:34.000Z"
"La gente que se ríe sola porque se acordó de algo??????? bueno, yo.","74","5061","22964","https://twitter.com/IndirectasRock/status/1528741053485940736","2022-05-23T14:14:04.000Z"
"¿Feo? 
Feo es borrar el chat donde hay toda una historia","156","4809","31807","https://twitter.com/IndirectasRock/status/1528721309731012608","2022-05-23T12:55:37.000Z"
"Yo entro a whats para responder un solo chat e ignorar los demás.","77","4841","23459","https://twitter.com/IndirectasRock/status/1528551955865292800","2022-05-23T01:42:40.000Z"
"Quédate otra vez, quédate toda la noche.","47","4966","23450","https://twitter.com/IndirectasRock/status/1528519106806403073","2022-05-22T23:32:08.000Z"
"Que asco me da cuando alguien jura quererte y coquetea con alguien más.","102","4333","24104","https://twitter.com/IndirectasRock/status/1528505298130026498","2022-05-22T22:37:15.000Z"
"Fan de que me abracen sin que yo lo pida.","27","5474","22785","https://twitter.com/IndirectasRock/status/1528483252754960392","2022-05-22T21:09:39.000Z"
"Yo sí creo en los ""todo pasa por algo"".","50","9188","36928","https://twitter.com/IndirectasRock/status/1528462796849131525","2022-05-22T19:48:22.000Z"
"Lindo? lindo sería tener a alguien con quien dominguear.","69","5332","22737","https://twitter.com/IndirectasRock/status/1528447690174083072","2022-05-22T18:48:21.000Z"
