"full_text","reply_count","retweet_count","favorite_count","url","created_at"
"""Las verdaderas batallas se libran en el interior"".
Mario Puzo
📷Francesca Woodman https://t.co/8SkJb86txV","3","68","245","https://twitter.com/literlandweb1/status/1530006920999862279","2022-05-27T02:04:10.000Z"
"""...entonces me pregunto si un recuerdo es algo que tenemos o algo que hemos perdido para siempre. Sabemos que los recuerdos no existen: reescribimos siempre la memoria del mismo modo como reescribimos siempre la historia"".
José María Pérez Gay
📷Ferdinando Scianna https://t.co/54dq5k5keq","1","43","180","https://twitter.com/literlandweb1/status/1529978604813275138","2022-05-27T00:11:39.000Z"
"In memoriam #TexasMassacre https://t.co/DwiFZsTfDf","17","706","3267","https://twitter.com/literlandweb1/status/1529977853994991621","2022-05-27T00:08:40.000Z"
"“Esto es lo que yo creo que es la hermandad: dos niños jugando a que son eternos”.
""El cerebro de mi hermano"", Rafael Pérez Gay
📷 Henri Cartier-Bresson https://t.co/6UMwzpwROK","2","54","311","https://twitter.com/literlandweb1/status/1529950660032094211","2022-05-26T22:20:37.000Z"
"https://t.co/LAV6bORN0m","4","56","294","https://twitter.com/literlandweb1/status/1529904075113910286","2022-05-26T19:15:30.000Z"
"""He cruzado océanos de tiempo para encontrarte"".
""Drácula"", Bram Stoker https://t.co/LZiYqorBYG","25","435","1762","https://twitter.com/literlandweb1/status/1529897912775462912","2022-05-26T18:51:01.000Z"
"El 26 de mayo de 1897 se publicó la primera edición de #Dracula, de #BramStoker, la obra más reconocible de la literatura gótica. ¿Recuerdas que te provocó su lectura? 
#Dracula125 #DraculaDay 
📷Primera página del manuscrito original de Drácula #BritishLibrary https://t.co/uqP5cgb0up","14","151","526","https://twitter.com/literlandweb1/status/1529891895194836992","2022-05-26T18:27:06.000Z"
"Mañana comienza la Feria del Libro de Madrid @FLMadrid Desde aquí os invitamos, como cada año, a seguir leyendo y comprando libros, la única manera de mantener el sector editorial. Junto con los viajes, es el único articulo que te enriquece al comprarlo. 
Ilustración de @oleismos https://t.co/CEN8QazVt3","1","39","206","https://twitter.com/literlandweb1/status/1529882496329990145","2022-05-26T17:49:45.000Z"
"Se ha ido uno de los nuestros. Descansa en paz #RayLiotta https://t.co/sF66v8fmnC","10","118","558","https://twitter.com/literlandweb1/status/1529879790555127808","2022-05-26T17:39:00.000Z"
"""Creer que uno es feliz es suficiente para serlo"". 
Madame de La Fayette
📷Elliot Erwitt https://t.co/0b9mJfB1jM","5","153","757","https://twitter.com/literlandweb1/status/1529863328906067970","2022-05-26T16:33:35.000Z"
"RT @_IrAdler: ""La vida es increíble, milagrosa, triste, maravillosa... Por eso decimos: Cuando sonríes, el mundo sonríe contigo."" (Mighty A…","0","51","0","https://twitter.com/literlandweb1/status/1529861516295651330","2022-05-26T16:26:23.000Z"
"https://t.co/LZtWYL8MjJ","2","171","962","https://twitter.com/literlandweb1/status/1529805289758896129","2022-05-26T12:42:58.000Z"
